 0.466	  1.06	  4.57
 0.467	  1.07	  4.58
 0.468	  1.07	  4.59
 0.469	  1.08	  4.60
 0.470	  1.08	  4.61
 0.471	  1.09	  4.62
 0.472	  1.09	  4.63
 0.473	  1.09	  4.64
 0.474	  1.10	  4.65
 0.475	  1.10	  4.66
 0.476	  1.11	  4.67
 0.477	  1.11	  4.68
 0.478	  1.12	  4.69
 0.479	  1.12	  4.70
 0.480	  1.13	  4.71
 0.481	  1.13	  4.72
 0.482	  1.14	  4.73
 0.483	  1.14	  4.74
 0.484	  1.15	  4.75
 0.485	  1.15	  4.75
 0.486	  1.16	  4.76
 0.487	  1.16	  4.77
 0.488	  1.17	  4.78
 0.489	  1.17	  4.79
 0.490	  1.17	  4.80
 0.491	  1.18	  4.81
 0.492	  1.18	  4.82
 0.493	  1.19	  4.83
 0.494	  1.19	  4.84
 0.495	  1.20	  4.85
 0.496	  1.20	  4.86
 0.497	  1.21	  4.87
 0.498	  1.21	  4.88
 0.499	  1.22	  4.89
 0.500	  1.22	  4.90
 0.501	  1.23	  4.91
 0.502	  1.23	  4.92
 0.503	  1.24	  4.93
 0.504	  1.24	  4.94
 0.505	  1.25	  4.95
 0.506	  1.25	  4.96
 0.507	  1.26	  4.97
 0.508	  1.26	  4.98
 0.509	  1.27	  4.99
 0.510	  1.27	  5.00
 0.511	  1.28	  5.01
 0.512	  1.28	  5.02
 0.513	  1.29	  5.03
 0.514	  1.29	  5.04
 0.515	  1.30	  5.05
 0.516	  1.30	  5.06
 0.517	  1.31	  5.07
 0.518	  1.31	  5.08
 0.519	  1.32	  5.09
 0.520	  1.32	  5.10
 0.521	  1.33	  5.11
 0.522	  1.33	  5.12
 0.523	  1.34	  5.13
 0.524	  1.34	  5.14
 0.525	  1.35	  5.15
 0.526	  1.35	  5.16
 0.527	  1.36	  5.17
 0.528	  1.36	  5.18
 0.529	  1.37	  5.19
 0.530	  1.37	  5.20
 0.531	  1.38	  5.21
 0.532	  1.39	  5.22
 0.533	  1.39	  5.22
 0.534	  1.40	  5.23
 0.535	  1.40	  5.24
 0.536	  1.41	  5.25
 0.537	  1.41	  5.26
 0.538	  1.42	  5.27
 0.539	  1.42	  5.28
 0.540	  1.43	  5.29
 0.541	  1.43	  5.30
 0.542	  1.44	  5.31
 0.543	  1.44	  5.32
 0.544	  1.45	  5.33
 0.545	  1.45	  5.34
 0.546	  1.46	  5.35
 0.547	  1.46	  5.36
 0.548	  1.47	  5.37
 0.549	  1.48	  5.38
 0.550	  1.48	  5.39
 0.551	  1.49	  5.40
 0.552	  1.49	  5.41
 0.553	  1.50	  5.42
 0.554	  1.50	  5.43
 0.555	  1.51	  5.44
 0.556	  1.51	  5.45
 0.557	  1.52	  5.46
 0.558	  1.52	  5.47
 0.559	  1.53	  5.48
 0.560	  1.53	  5.49
 0.561	  1.54	  5.50
 0.562	  1.55	  5.51
 0.563	  1.55	  5.52
 0.564	  1.56	  5.53
 0.565	  1.56	  5.54
 0.566	  1.57	  5.55
 0.567	  1.57	  5.56
 0.568	  1.58	  5.57
 0.569	  1.58	  5.58
 0.570	  1.59	  5.59
 0.571	  1.60	  5.60
 0.572	  1.60	  5.61
 0.573	  1.61	  5.62
 0.574	  1.61	  5.63
 0.575	  1.62	  5.64
 0.576	  1.62	  5.65
 0.577	  1.63	  5.66
 0.578	  1.64	  5.67
 0.579	  1.64	  5.67
 0.580	  1.65	  5.68
 0.581	  1.65	  5.69
 0.582	  1.66	  5.70
 0.583	  1.66	  5.71
 0.584	  1.67	  5.72
 0.585	  1.67	  5.73
 0.586	  1.68	  5.74
 0.587	  1.69	  5.75
 0.588	  1.69	  5.76
 0.589	  1.70	  5.77
 0.590	  1.70	  5.78
 0.591	  1.71	  5.79
 0.592	  1.72	  5.80
 0.593	  1.72	  5.81
 0.594	  1.73	  5.82
 0.595	  1.73	  5.83
 0.596	  1.74	  5.84
 0.597	  1.74	  5.85
 0.598	  1.75	  5.86
 0.599	  1.76	  5.87
 0.600	  1.76	  5.88
 0.601	  1.77	  5.89
 0.602	  1.77	  5.90
 0.603	  1.78	  5.91
 0.604	  1.79	  5.92
 0.605	  1.79	  5.93
 0.606	  1.80	  5.94
 0.607	  1.80	  5.95
 0.608	  1.81	  5.96
 0.609	  1.82	  5.97
 0.610	  1.82	  5.98
 0.611	  1.83	  5.99
 0.612	  1.83	  6.00
 0.613	  1.84	  6.01
 0.614	  1.85	  6.02
 0.615	  1.85	  6.03
 0.616	  1.86	  6.04
 0.617	  1.86	  6.05
 0.618	  1.87	  6.06
 0.619	  1.88	  6.07
 0.620	  1.88	  6.08
 0.621	  1.89	  6.09
 0.622	  1.89	  6.10
 0.623	  1.90	  6.11
 0.624	  1.91	  6.12
 0.625	  1.91	  6.12
 0.626	  1.92	  6.13
 0.627	  1.92	  6.14
 0.628	  1.93	  6.15
 0.629	  1.94	  6.16
 0.630	  1.94	  6.17
 0.631	  1.95	  6.18
 0.632	  1.96	  6.19
 0.633	  1.96	  6.20
 0.634	  1.97	  6.21
 0.635	  1.97	  6.22
 0.636	  1.98	  6.23
 0.637	  1.99	  6.24
 0.638	  1.99	  6.25
 0.639	  2.00	  6.26
 0.640	  2.00	  6.27
 0.641	  2.01	  6.28
 0.642	  2.02	  6.29
 0.643	  2.02	  6.30
 0.644	  2.03	  6.31
 0.645	  2.04	  6.32
 0.646	  2.04	  6.33
 0.647	  2.05	  6.34
 0.648	  2.06	  6.35
 0.649	  2.06	  6.36
 0.650	  2.07	  6.37
 0.651	  2.07	  6.38
 0.652	  2.08	  6.39
 0.653	  2.09	  6.40
 0.654	  2.09	  6.41
 0.655	  2.10	  6.42
 0.656	  2.11	  6.43
 0.657	  2.11	  6.44
 0.658	  2.12	  6.45
 0.659	  2.13	  6.46
 0.660	  2.13	  6.47
 0.661	  2.14	  6.48
 0.662	  2.15	  6.49
 0.663	  2.15	  6.50
 0.664	  2.16	  6.51
 0.665	  2.16	  6.52
 0.666	  2.17	  6.53
 0.667	  2.18	  6.54
 0.668	  2.18	  6.55
